ball_id	frame	x	y
0	169	2304	1044
0	171	2194	1035
0	172	2145	1015
0	173	2058	1018
0	174	1990	1009
0	175	1905	1017
0	176	1799	1034
0	177	1702	1051
0	178	1589	1075
0	179	1472	1098
0	180	1348	1106
0	181	1223	1112
0	182	1075	1123
0	183	936	1130
0	184	813	1162
0	185	685	1174
0	186	540	1186
0	187	376	1200
0	188	200	1210
1	213	2344	1050
1	215	2252	1061
1	216	2207	1048
1	217	2122	1064
1	218	2058	1060
1	219	1962	1074
1	220	1879	1060
1	221	1780	1055
1	222	1688	1048
1	223	1577	1054
1	224	1448	1066
1	225	1320	1066
1	226	1188	1062
1	227	1052	1052
1	228	893	1050
1	229	714	1062
1	230	571	1035
1	231	402	1022
2	254	2326	1043
2	256	2225	1043
2	257	2161	1049
2	258	2094	1052
2	259	2014	1050
2	260	1938	1047
2	261	1836	1053
2	262	1741	1038
2	263	1634	1031
2	264	1497	1035
2	265	1374	1030
2	266	1266	1020
2	267	1142	1015
2	268	997	1026
2	269	825	1048
3	328	2326	1042
3	329	2289	1046
3	330	2242	1049
3	331	2175	1052
3	332	2110	1052
3	333	2058	1013
3	334	1991	993
3	335	1898	983
3	336	1787	983
3	337	1715	940
3	338	1614	917
3	339	1487	906
3	340	1359	893
3	341	1258	895
3	342	1146	893
3	343	1019	882
3	344	871	878
3	345	706	875
3	346	544	841
4	367	2345	1044
4	368	2308	1044
4	369	2257	1045
4	370	2205	1039
4	371	2125	1052
4	372	2059	1046
4	373	1991	1036
4	374	1889	1053
4	375	1818	1045
4	376	1726	1051
4	377	1609	1070
4	378	1478	1099
4	379	1391	1091
4	380	1275	1099
4	381	1139	1118
4	382	981	1147
4	383	832	1170
4	384	676	1194
4	385	499	1226
5	467	2334	1054
5	468	2288	1060
5	470	2205	1078
5	471	2143	1084
5	472	2082	1087
5	473	2006	1099
5	474	1939	1111
5	475	1850	1128
5	476	1742	1152
5	477	1665	1169
5	478	1565	1193
5	479	1444	1227
5	480	1305	1277
5	481	1186	1309
5	482	1059	1330
5	483	904	1377
5	484	752	1412
5	485	608	1431
5	486	443	1481
5	487	271	1513
6	506	2343	1043
6	507	2302	1043
6	509	2215	1046
6	510	2163	1031
6	511	2073	1057
6	512	2018	1032
6	513	1925	1036
6	514	1839	1031
6	515	1743	1026
6	516	1627	1027
6	517	1528	1027
6	518	1435	1019
6	519	1293	1085
6	520	1162	1089
6	521	1024	1076
6	522	855	1106
6	523	709	1092
6	524	544	1086
7	556	2208	1076
7	557	2133	1092
7	558	2058	1097
7	559	1999	1089
7	560	1907	1101
7	561	1802	1124
7	562	1707	1121
7	563	1578	1143
7	564	1479	1147
7	565	1353	1166
7	566	1205	1190
7	567	1060	1212
7	568	897	1248
7	569	766	1264
7	570	630	1338
7	571	488	1391
7	572	330	1443
8	605	2345	1023
8	606	2300	1013
8	607	2246	1007
8	609	2122	993
8	610	2049	985
8	611	1959	975
8	612	1894	945
8	613	1808	922
8	614	1697	910
8	615	1576	900
8	616	1490	860
8	617	1381	829
8	618	1251	810
8	619	1094	807
8	620	937	793
8	621	779	768
8	622	620	739
8	623	462	704
8	624	284	681
9	679	2301	1044
9	680	2276	1047
9	681	2225	1058
